lead_id,date,channel,device
2617,2025-09-07,Google Ads,Desktop
3571,2025-09-07,Google Ads,Tablet
272,2025-09-07,Instagram Ads,Mobile
1614,2025-09-07,Instagram Ads,Desktop
4046,2025-09-07,Google Ads,Tablet
895,2025-09-07,Facebook Ads,Mobile
2313,2025-09-07,LinkedIn,Tablet
472,2025-09-07,Instagram Ads,Desktop
2804,2025-09-07,Google Ads,Tablet
3324,2025-09-07,LinkedIn,Tablet
2809,2025-09-07,Emailing,Desktop
3364,2025-09-07,Organic,Mobile
1037,2025-09-07,Google Ads,Mobile
1847,2025-09-08,LinkedIn,Mobile
2119,2025-09-08,Facebook Ads,Tablet
4652,2025-09-08,LinkedIn,Tablet
1914,2025-09-08,Instagram Ads,Desktop
111,2025-09-08,LinkedIn,Tablet
3262,2025-09-08,Organic,Desktop
2786,2025-09-08,Instagram Ads,Desktop
4335,2025-09-08,Facebook Ads,Desktop
983,2025-09-08,Facebook Ads,Mobile
741,2025-09-08,Organic,Desktop
1150,2025-09-08,LinkedIn,Desktop
2071,2025-09-09,Organic,Desktop
4427,2025-09-09,LinkedIn,Desktop
1303,2025-09-09,Google Ads,Desktop
4518,2025-09-09,LinkedIn,Desktop
338,2025-09-09,Google Ads,Mobile
1026,2025-09-09,Facebook Ads,Desktop
3513,2025-09-09,Organic,Mobile
1302,2025-09-09,Instagram Ads,Desktop
478,2025-09-09,Emailing,Desktop
4620,2025-09-09,Emailing,Desktop
2522,2025-09-09,LinkedIn,Tablet
1148,2025-09-09,LinkedIn,Mobile
4051,2025-09-09,Emailing,Mobile
4608,2025-09-09,LinkedIn,Desktop
1677,2025-09-09,Emailing,Tablet
2820,2025-09-09,Emailing,Mobile
4297,2025-09-10,Instagram Ads,Desktop
3769,2025-09-10,Emailing,Desktop
1797,2025-09-10,Organic,Mobile
1002,2025-09-10,Google Ads,Desktop
199,2025-09-10,Facebook Ads,Mobile
616,2025-09-10,Facebook Ads,Tablet
4026,2025-09-10,Facebook Ads,Tablet
979,2025-09-10,Facebook Ads,Mobile
975,2025-09-10,Instagram Ads,Mobile
413,2025-09-10,LinkedIn,Mobile
2498,2025-09-10,Organic,Desktop
2070,2025-09-10,Organic,Tablet
1603,2025-09-10,Google Ads,Tablet
4989,2025-09-10,Organic,Mobile
3076,2025-09-10,Facebook Ads,Mobile
2181,2025-09-10,LinkedIn,Tablet
4587,2025-09-10,LinkedIn,Tablet
457,2025-09-10,Emailing,Desktop
4063,2025-09-11,Emailing,Desktop
2514,2025-09-11,Facebook Ads,Mobile
3796,2025-09-11,Google Ads,Mobile
4200,2025-09-11,Google Ads,Mobile
658,2025-09-11,LinkedIn,Mobile
3604,2025-09-11,Google Ads,Tablet
2930,2025-09-11,Facebook Ads,Mobile
1536,2025-09-11,Facebook Ads,Mobile
1260,2025-09-11,Instagram Ads,Mobile
3942,2025-09-12,Emailing,Mobile
1348,2025-09-12,Google Ads,Mobile
391,2025-09-12,Google Ads,Desktop
3755,2025-09-12,Instagram Ads,Desktop
201,2025-09-12,Organic,Tablet
1401,2025-09-12,LinkedIn,Desktop
3483,2025-09-12,Organic,Tablet
1075,2025-09-12,Emailing,Mobile
1440,2025-09-12,Organic,Tablet
3895,2025-09-12,Google Ads,Mobile
1334,2025-09-12,Google Ads,Desktop
2519,2025-09-12,Organic,Desktop
3589,2025-09-12,LinkedIn,Desktop
1555,2025-09-12,Emailing,Mobile
1120,2025-09-13,Emailing,Mobile
865,2025-09-13,Emailing,Desktop
1389,2025-09-13,Organic,Desktop
3485,2025-09-13,Facebook Ads,Desktop
143,2025-09-13,Emailing,Tablet
4111,2025-09-13,Google Ads,Desktop
2342,2025-09-13,Emailing,Mobile
4843,2025-09-13,Emailing,Desktop
3764,2025-09-13,Instagram Ads,Desktop
2004,2025-09-13,LinkedIn,Mobile
2111,2025-09-13,Emailing,Desktop
2283,2025-09-13,Organic,Desktop
392,2025-09-14,LinkedIn,Tablet
2959,2025-09-14,Organic,Desktop
386,2025-09-14,Organic,Tablet
1751,2025-09-14,Emailing,Mobile
246,2025-09-14,Google Ads,Desktop
957,2025-09-14,Emailing,Mobile
3000,2025-09-14,LinkedIn,Tablet
1503,2025-09-14,Instagram Ads,Mobile
2398,2025-09-14,Google Ads,Mobile
729,2025-09-14,Instagram Ads,Desktop
1131,2025-09-14,Google Ads,Desktop
1114,2025-09-15,Instagram Ads,Mobile
436,2025-09-15,Facebook Ads,Mobile
3738,2025-09-15,Instagram Ads,Mobile
711,2025-09-15,Instagram Ads,Mobile
4848,2025-09-15,LinkedIn,Tablet
3510,2025-09-15,Organic,Mobile
700,2025-09-15,Organic,Desktop
1881,2025-09-15,Facebook Ads,Desktop
2568,2025-09-15,Facebook Ads,Mobile
4158,2025-09-15,Instagram Ads,Tablet
4939,2025-09-15,Google Ads,Tablet
3489,2025-09-15,Emailing,Tablet
1450,2025-09-15,Organic,Tablet
1374,2025-09-15,Emailing,Mobile
4068,2025-09-15,LinkedIn,Desktop
4011,2025-09-15,Instagram Ads,Mobile
269,2025-09-15,Facebook Ads,Tablet
4060,2025-09-15,Organic,Tablet
4418,2025-09-15,Organic,Mobile
3524,2025-09-15,Facebook Ads,Mobile
2518,2025-09-15,Instagram Ads,Mobile
2958,2025-09-15,Instagram Ads,Mobile
5080,2025-09-15,Organic,Desktop
1517,2025-09-15,Instagram Ads,Desktop
2466,2025-09-16,Instagram Ads,Mobile
1173,2025-09-16,Google Ads,Desktop
573,2025-09-16,Instagram Ads,Tablet
1649,2025-09-16,Emailing,Mobile
2304,2025-09-16,Google Ads,Desktop
1895,2025-09-16,Instagram Ads,Tablet
3975,2025-09-16,Emailing,Tablet
4944,2025-09-16,Instagram Ads,Mobile
1927,2025-09-16,Google Ads,Mobile
3040,2025-09-16,Emailing,Desktop
4317,2025-09-16,LinkedIn,Mobile
1967,2025-09-16,Instagram Ads,Desktop
1523,2025-09-16,LinkedIn,Desktop
448,2025-09-17,Organic,Mobile
2877,2025-09-17,Google Ads,Tablet
130,2025-09-17,LinkedIn,Mobile
4190,2025-09-17,Organic,Tablet
4494,2025-09-17,Google Ads,Desktop
4490,2025-09-17,Google Ads,Tablet
2384,2025-09-17,Google Ads,Desktop
435,2025-09-17,Facebook Ads,Desktop
587,2025-09-17,Google Ads,Mobile
615,2025-09-17,Organic,Tablet
2938,2025-09-17,Emailing,Mobile
1295,2025-09-17,Emailing,Desktop
159,2025-09-17,Google Ads,Mobile
2332,2025-09-18,Organic,Mobile
4442,2025-09-18,Facebook Ads,Tablet
4488,2025-09-18,Emailing,Tablet
2745,2025-09-18,Emailing,Mobile
4777,2025-09-18,LinkedIn,Desktop
4664,2025-09-18,Facebook Ads,Tablet
1058,2025-09-18,Organic,Mobile
1566,2025-09-18,Instagram Ads,Mobile
2707,2025-09-18,Facebook Ads,Tablet
3909,2025-09-19,Facebook Ads,Mobile
5052,2025-09-19,Instagram Ads,Mobile
401,2025-09-19,LinkedIn,Mobile
4473,2025-09-19,LinkedIn,Tablet
3772,2025-09-19,Facebook Ads,Tablet
1403,2025-09-19,LinkedIn,Desktop
5025,2025-09-19,Organic,Mobile
4208,2025-09-19,Organic,Tablet
3763,2025-09-19,Emailing,Tablet
3110,2025-09-19,Organic,Desktop
4059,2025-09-19,Emailing,Desktop
1078,2025-09-19,Instagram Ads,Mobile
3087,2025-09-19,Instagram Ads,Tablet
249,2025-09-19,Emailing,Desktop
802,2025-09-19,Instagram Ads,Mobile
3588,2025-09-19,Emailing,Desktop
2430,2025-09-19,Google Ads,Mobile
4079,2025-09-19,Facebook Ads,Mobile
4094,2025-09-19,Instagram Ads,Mobile
2881,2025-09-19,Facebook Ads,Mobile
2663,2025-09-19,Emailing,Tablet
2165,2025-09-19,Instagram Ads,Mobile
3910,2025-09-20,Emailing,Mobile
2754,2025-09-20,Instagram Ads,Desktop
4822,2025-09-20,Organic,Tablet
2124,2025-09-20,Google Ads,Desktop
919,2025-09-20,Instagram Ads,Mobile
3550,2025-09-20,Google Ads,Desktop
4436,2025-09-20,Organic,Tablet
2702,2025-09-20,Emailing,Tablet
3006,2025-09-20,LinkedIn,Mobile
4751,2025-09-20,Google Ads,Mobile
4846,2025-09-20,Organic,Desktop
629,2025-09-21,Facebook Ads,Tablet
3265,2025-09-21,Organic,Desktop
3663,2025-09-21,Instagram Ads,Mobile
1514,2025-09-21,Instagram Ads,Desktop
4992,2025-09-21,Google Ads,Tablet
4337,2025-09-21,LinkedIn,Tablet
3844,2025-09-21,Facebook Ads,Tablet
559,2025-09-21,Emailing,Tablet
3125,2025-09-21,Emailing,Mobile
2099,2025-09-21,Instagram Ads,Mobile
4110,2025-09-21,Google Ads,Tablet
4310,2025-09-21,Emailing,Desktop
3334,2025-09-22,Google Ads,Mobile
2041,2025-09-22,Instagram Ads,Desktop
1201,2025-09-22,Google Ads,Tablet
1817,2025-09-22,Instagram Ads,Desktop
4461,2025-09-22,Organic,Tablet
1815,2025-09-22,LinkedIn,Mobile
2432,2025-09-22,Emailing,Tablet
1722,2025-09-22,Emailing,Desktop
4186,2025-09-22,LinkedIn,Tablet
4893,2025-09-22,Google Ads,Mobile
4384,2025-09-22,Organic,Desktop
2833,2025-09-22,Emailing,Desktop
2549,2025-09-22,Instagram Ads,Desktop
4556,2025-09-22,Instagram Ads,Mobile
2778,2025-09-22,Google Ads,Mobile
525,2025-09-22,Facebook Ads,Mobile
1621,2025-09-22,Emailing,Desktop
107,2025-09-22,LinkedIn,Desktop
3640,2025-09-23,Organic,Mobile
4481,2025-09-23,Instagram Ads,Desktop
4712,2025-09-23,Google Ads,Mobile
2860,2025-09-23,Google Ads,Desktop
2161,2025-09-23,LinkedIn,Desktop
3827,2025-09-23,Emailing,Desktop
1826,2025-09-23,Facebook Ads,Desktop
1812,2025-09-23,Google Ads,Tablet
4352,2025-09-23,Google Ads,Desktop
3223,2025-09-23,Facebook Ads,Desktop
2611,2025-09-23,Emailing,Tablet
2112,2025-09-23,Emailing,Mobile
1420,2025-09-23,Facebook Ads,Desktop
717,2025-09-23,Instagram Ads,Desktop
3610,2025-09-23,Google Ads,Desktop
4368,2025-09-23,Emailing,Tablet
2710,2025-09-23,Facebook Ads,Tablet
2109,2025-09-24,Facebook Ads,Mobile
1359,2025-09-24,Organic,Tablet
2030,2025-09-24,Google Ads,Tablet
2347,2025-09-24,Instagram Ads,Mobile
3258,2025-09-24,Emailing,Tablet
1139,2025-09-24,LinkedIn,Tablet
2182,2025-09-24,Emailing,Desktop
133,2025-09-24,Facebook Ads,Tablet
960,2025-09-24,Organic,Desktop
184,2025-09-24,Facebook Ads,Desktop
2827,2025-09-24,Google Ads,Desktop
805,2025-09-24,Instagram Ads,Tablet
823,2025-09-25,Instagram Ads,Tablet
1291,2025-09-25,Facebook Ads,Desktop
1288,2025-09-25,Google Ads,Mobile
3501,2025-09-25,Facebook Ads,Tablet
2458,2025-09-25,Google Ads,Tablet
5095,2025-09-25,Instagram Ads,Desktop
3892,2025-09-25,Emailing,Desktop
3240,2025-09-25,Instagram Ads,Desktop
2147,2025-09-25,Emailing,Mobile
951,2025-09-25,LinkedIn,Tablet
3950,2025-09-25,Instagram Ads,Mobile
1796,2025-09-25,Facebook Ads,Desktop
4881,2025-09-25,Instagram Ads,Mobile
1707,2025-09-25,Organic,Desktop
3139,2025-09-25,Emailing,Mobile
3422,2025-09-25,Organic,Mobile
3391,2025-09-25,Google Ads,Tablet
4832,2025-09-25,Organic,Tablet
3396,2025-09-25,Emailing,Tablet
3119,2025-09-25,Emailing,Tablet
2650,2025-09-25,Organic,Mobile
3789,2025-09-25,Emailing,Desktop
1889,2025-09-25,Google Ads,Tablet
3612,2025-09-25,LinkedIn,Tablet
4482,2025-09-26,LinkedIn,Mobile
4213,2025-09-26,Emailing,Tablet
3970,2025-09-26,Google Ads,Tablet
475,2025-09-26,Emailing,Desktop
2380,2025-09-26,Google Ads,Mobile
2442,2025-09-26,Instagram Ads,Mobile
1705,2025-09-26,Facebook Ads,Desktop
3619,2025-09-26,Google Ads,Desktop
4963,2025-09-26,LinkedIn,Tablet
2984,2025-09-26,Google Ads,Mobile
3275,2025-09-26,Facebook Ads,Tablet
455,2025-09-26,Instagram Ads,Tablet
3408,2025-09-26,Organic,Mobile
2985,2025-09-26,Instagram Ads,Mobile
4902,2025-09-26,Emailing,Desktop
470,2025-09-26,Instagram Ads,Desktop
2098,2025-09-26,Emailing,Desktop
2272,2025-09-26,Facebook Ads,Desktop
3366,2025-09-26,Instagram Ads,Tablet
1899,2025-09-27,Emailing,Tablet
1898,2025-09-27,Organic,Desktop
577,2025-09-27,Instagram Ads,Tablet
1492,2025-09-27,LinkedIn,Desktop
537,2025-09-27,Google Ads,Desktop
4535,2025-09-27,Facebook Ads,Mobile
2687,2025-09-27,Organic,Tablet
2655,2025-09-27,Google Ads,Mobile
2502,2025-09-27,Instagram Ads,Mobile
1366,2025-09-27,Google Ads,Mobile
1594,2025-09-27,Instagram Ads,Tablet
4802,2025-09-27,Google Ads,Desktop
2897,2025-09-27,LinkedIn,Mobile
2664,2025-09-27,Organic,Mobile
1439,2025-09-27,Google Ads,Tablet
1084,2025-09-28,Emailing,Mobile
169,2025-09-28,LinkedIn,Desktop
1236,2025-09-28,LinkedIn,Mobile
3398,2025-09-28,Facebook Ads,Desktop
3159,2025-09-28,LinkedIn,Mobile
3386,2025-09-28,Google Ads,Tablet
687,2025-09-28,Instagram Ads,Mobile
178,2025-09-28,Instagram Ads,Tablet
2871,2025-09-28,LinkedIn,Tablet
2840,2025-09-28,Facebook Ads,Mobile
4392,2025-09-29,Facebook Ads,Tablet
4498,2025-09-29,Instagram Ads,Tablet
598,2025-09-29,Instagram Ads,Tablet
3158,2025-09-29,Google Ads,Tablet
2647,2025-09-29,Organic,Mobile
3818,2025-09-29,Organic,Mobile
1390,2025-09-29,Facebook Ads,Mobile
4511,2025-09-29,Organic,Desktop
1698,2025-09-29,Organic,Desktop
2659,2025-09-29,Emailing,Tablet
3956,2025-09-29,Facebook Ads,Mobile
2040,2025-09-29,LinkedIn,Mobile
210,2025-09-29,Organic,Tablet
412,2025-09-29,Google Ads,Mobile
1135,2025-09-29,Facebook Ads,Desktop
2339,2025-09-29,Google Ads,Mobile
2237,2025-09-29,Facebook Ads,Tablet
3033,2025-09-29,Facebook Ads,Tablet
4907,2025-09-29,Instagram Ads,Tablet
3456,2025-09-29,Facebook Ads,Desktop
4133,2025-09-30,Facebook Ads,Desktop
2086,2025-09-30,Emailing,Tablet
1777,2025-09-30,Organic,Mobile
4401,2025-09-30,Facebook Ads,Mobile
1419,2025-09-30,Emailing,Desktop
540,2025-09-30,Emailing,Tablet
4639,2025-09-30,Organic,Tablet
4406,2025-09-30,Google Ads,Tablet
714,2025-09-30,Instagram Ads,Tablet
1233,2025-09-30,Facebook Ads,Desktop
4996,2025-09-30,LinkedIn,Mobile
4467,2025-09-30,Instagram Ads,Tablet
773,2025-09-30,Google Ads,Desktop
2150,2025-09-30,Google Ads,Mobile
4198,2025-09-30,Facebook Ads,Tablet
3228,2025-09-30,Instagram Ads,Desktop
2443,2025-09-30,Google Ads,Desktop
1915,2025-09-30,Instagram Ads,Mobile
1411,2025-09-30,Facebook Ads,Mobile
3926,2025-10-01,Organic,Desktop
1896,2025-10-01,Organic,Desktop
4091,2025-10-01,Organic,Desktop
1061,2025-10-01,Organic,Desktop
302,2025-10-01,LinkedIn,Mobile
4043,2025-10-01,Organic,Tablet
2219,2025-10-01,Emailing,Mobile
3659,2025-10-01,Organic,Mobile
3591,2025-10-01,Organic,Tablet
541,2025-10-01,Google Ads,Mobile
535,2025-10-01,Google Ads,Tablet
3323,2025-10-01,Facebook Ads,Tablet
3647,2025-10-01,Emailing,Mobile
1317,2025-10-01,Facebook Ads,Tablet
550,2025-10-01,Instagram Ads,Tablet
751,2025-10-02,Facebook Ads,Desktop
1000,2025-10-02,LinkedIn,Mobile
4429,2025-10-02,LinkedIn,Mobile
2407,2025-10-02,LinkedIn,Tablet
3716,2025-10-02,LinkedIn,Desktop
4936,2025-10-02,Facebook Ads,Tablet
400,2025-10-02,Organic,Tablet
4262,2025-10-02,Facebook Ads,Desktop
1755,2025-10-02,Organic,Mobile
4309,2025-10-02,Instagram Ads,Desktop
3617,2025-10-02,Google Ads,Tablet
1227,2025-10-02,Emailing,Desktop
947,2025-10-02,Organic,Mobile
1699,2025-10-02,Google Ads,Tablet
4999,2025-10-03,Instagram Ads,Desktop
157,2025-10-03,Instagram Ads,Desktop
1745,2025-10-03,Emailing,Tablet
2645,2025-10-03,LinkedIn,Mobile
1387,2025-10-03,Google Ads,Desktop
704,2025-10-03,Emailing,Desktop
2727,2025-10-03,Emailing,Tablet
4214,2025-10-03,LinkedIn,Tablet
265,2025-10-03,Facebook Ads,Tablet
4640,2025-10-03,Organic,Tablet
2051,2025-10-03,LinkedIn,Mobile
1182,2025-10-03,Instagram Ads,Desktop
3479,2025-10-03,Facebook Ads,Tablet
3828,2025-10-04,Google Ads,Tablet
4613,2025-10-04,Instagram Ads,Desktop
1096,2025-10-04,Instagram Ads,Tablet
3214,2025-10-04,Facebook Ads,Desktop
523,2025-10-04,Facebook Ads,Tablet
2026,2025-10-04,Emailing,Mobile
1217,2025-10-04,LinkedIn,Mobile
510,2025-10-04,Emailing,Mobile
3201,2025-10-04,Google Ads,Desktop
291,2025-10-04,Facebook Ads,Mobile
3162,2025-10-04,Instagram Ads,Tablet
323,2025-10-05,Google Ads,Desktop
2928,2025-10-05,LinkedIn,Tablet
473,2025-10-05,LinkedIn,Tablet
1668,2025-10-05,LinkedIn,Tablet
4243,2025-10-05,Facebook Ads,Desktop
1676,2025-10-05,Facebook Ads,Desktop
3735,2025-10-05,Emailing,Mobile
1542,2025-10-05,LinkedIn,Tablet
384,2025-10-05,LinkedIn,Mobile
3502,2025-10-05,Google Ads,Mobile
4087,2025-10-05,Emailing,Mobile
2351,2025-10-05,Google Ads,Desktop
4268,2025-10-05,Emailing,Tablet
440,2025-10-06,LinkedIn,Desktop
4521,2025-10-06,Google Ads,Tablet
4270,2025-10-06,Facebook Ads,Desktop
1863,2025-10-06,Google Ads,Desktop
2323,2025-10-06,Organic,Mobile
138,2025-10-06,Facebook Ads,Mobile
4489,2025-10-06,Emailing,Desktop
1910,2025-10-06,Organic,Mobile
4528,2025-10-06,Emailing,Mobile
4868,2025-10-06,Facebook Ads,Tablet
1729,2025-10-06,Facebook Ads,Tablet
360,2025-10-06,Emailing,Tablet
989,2025-10-07,Organic,Tablet
1824,2025-10-07,Organic,Tablet
2255,2025-10-07,Organic,Mobile
1991,2025-10-07,Emailing,Desktop
4045,2025-10-07,Instagram Ads,Tablet
471,2025-10-07,Organic,Mobile
534,2025-10-07,Organic,Desktop
3624,2025-10-07,Instagram Ads,Desktop
3299,2025-10-08,LinkedIn,Tablet
1624,2025-10-08,Emailing,Desktop
3898,2025-10-08,Facebook Ads,Desktop
3134,2025-10-08,Instagram Ads,Tablet
307,2025-10-08,LinkedIn,Mobile
765,2025-10-08,Facebook Ads,Desktop
4247,2025-10-08,Instagram Ads,Tablet
3198,2025-10-08,Emailing,Tablet
4166,2025-10-08,LinkedIn,Tablet
3046,2025-10-08,Facebook Ads,Desktop
2955,2025-10-08,LinkedIn,Tablet
1285,2025-10-08,Organic,Tablet
2716,2025-10-08,Google Ads,Mobile
501,2025-10-08,Organic,Tablet
984,2025-10-08,Google Ads,Desktop
3886,2025-10-09,Facebook Ads,Desktop
2371,2025-10-09,Google Ads,Desktop
4891,2025-10-09,LinkedIn,Mobile
4311,2025-10-09,Instagram Ads,Desktop
3965,2025-10-09,Instagram Ads,Mobile
1694,2025-10-09,Emailing,Desktop
1806,2025-10-09,Instagram Ads,Mobile
1563,2025-10-09,LinkedIn,Tablet
2742,2025-10-09,Instagram Ads,Desktop
3178,2025-10-09,Organic,Tablet
1376,2025-10-09,Facebook Ads,Mobile
3268,2025-10-09,Instagram Ads,Desktop
3329,2025-10-09,Facebook Ads,Tablet
4767,2025-10-09,LinkedIn,Mobile
2187,2025-10-09,Organic,Tablet
1083,2025-10-09,Instagram Ads,Tablet
1398,2025-10-09,LinkedIn,Mobile
4714,2025-10-10,Facebook Ads,Desktop
735,2025-10-10,Organic,Desktop
2399,2025-10-10,Facebook Ads,Desktop
4950,2025-10-10,Facebook Ads,Desktop
4305,2025-10-10,Emailing,Mobile
200,2025-10-10,Organic,Mobile
1642,2025-10-10,Organic,Tablet
2606,2025-10-10,Instagram Ads,Tablet
1278,2025-10-10,Emailing,Mobile
4842,2025-10-11,Organic,Desktop
777,2025-10-11,Google Ads,Desktop
1859,2025-10-11,Instagram Ads,Tablet
555,2025-10-11,Emailing,Desktop
1168,2025-10-11,Facebook Ads,Desktop
2295,2025-10-11,Instagram Ads,Desktop
3281,2025-10-11,Organic,Tablet
871,2025-10-11,Instagram Ads,Mobile
2652,2025-10-11,Facebook Ads,Desktop
3774,2025-10-11,Instagram Ads,Mobile
1512,2025-10-11,Emailing,Desktop
2302,2025-10-11,Instagram Ads,Mobile
2779,2025-10-11,Facebook Ads,Mobile
224,2025-10-11,Facebook Ads,Tablet
4985,2025-10-11,Facebook Ads,Tablet
2350,2025-10-12,Emailing,Mobile
795,2025-10-12,LinkedIn,Desktop
2320,2025-10-12,Instagram Ads,Desktop
282,2025-10-12,LinkedIn,Desktop
2137,2025-10-12,Emailing,Tablet
910,2025-10-12,LinkedIn,Desktop
647,2025-10-12,Organic,Tablet
3143,2025-10-12,Google Ads,Mobile
2435,2025-10-12,Facebook Ads,Desktop
2144,2025-10-12,Organic,Desktop
4774,2025-10-12,Instagram Ads,Mobile
2409,2025-10-12,Facebook Ads,Tablet
2527,2025-10-13,Google Ads,Tablet
1353,2025-10-13,LinkedIn,Tablet
4361,2025-10-13,LinkedIn,Tablet
434,2025-10-13,Google Ads,Tablet
1039,2025-10-13,Organic,Desktop
851,2025-10-13,Facebook Ads,Desktop
530,2025-10-13,Google Ads,Mobile
3870,2025-10-13,Facebook Ads,Mobile
1769,2025-10-13,Facebook Ads,Desktop
3352,2025-10-13,Instagram Ads,Tablet
561,2025-10-13,Facebook Ads,Desktop
3316,2025-10-13,Facebook Ads,Tablet
3952,2025-10-13,Instagram Ads,Desktop
3354,2025-10-13,Organic,Desktop
180,2025-10-13,Google Ads,Tablet
2933,2025-10-14,Facebook Ads,Mobile
745,2025-10-14,Instagram Ads,Mobile
4251,2025-10-14,Instagram Ads,Desktop
2807,2025-10-14,Google Ads,Mobile
560,2025-10-14,Instagram Ads,Desktop
4348,2025-10-14,LinkedIn,Mobile
191,2025-10-14,Organic,Mobile
4831,2025-10-14,Google Ads,Tablet
4836,2025-10-14,Google Ads,Mobile
4731,2025-10-14,Instagram Ads,Tablet
5097,2025-10-14,Emailing,Mobile
481,2025-10-14,Emailing,Tablet
233,2025-10-14,Emailing,Tablet
2061,2025-10-14,Organic,Mobile
1582,2025-10-14,Google Ads,Mobile
3861,2025-10-14,Google Ads,Tablet
3889,2025-10-14,Instagram Ads,Mobile
4030,2025-10-14,Facebook Ads,Mobile
3938,2025-10-14,LinkedIn,Desktop
1518,2025-10-15,Google Ads,Tablet
2439,2025-10-15,Emailing,Desktop
1822,2025-10-15,Organic,Mobile
5003,2025-10-15,Facebook Ads,Tablet
4899,2025-10-15,Google Ads,Desktop
2456,2025-10-15,Instagram Ads,Mobile
2467,2025-10-15,Emailing,Tablet
4501,2025-10-15,LinkedIn,Mobile
705,2025-10-15,Organic,Mobile
1134,2025-10-15,Emailing,Desktop
141,2025-10-15,Facebook Ads,Tablet
2681,2025-10-15,Instagram Ads,Tablet
1922,2025-10-15,LinkedIn,Mobile
1947,2025-10-15,Facebook Ads,Desktop
1636,2025-10-15,Organic,Tablet
819,2025-10-16,Google Ads,Desktop
3689,2025-10-16,Google Ads,Mobile
4167,2025-10-16,LinkedIn,Desktop
5077,2025-10-16,Instagram Ads,Mobile
4413,2025-10-16,Facebook Ads,Desktop
2787,2025-10-16,Instagram Ads,Tablet
2579,2025-10-16,Organic,Mobile
3782,2025-10-16,Emailing,Desktop
4901,2025-10-16,Instagram Ads,Mobile
2803,2025-10-16,Emailing,Tablet
1354,2025-10-16,Emailing,Mobile
913,2025-10-16,Facebook Ads,Tablet
